iter	Passed	Remaining
538	5728	4899
539	5739	4888
540	5749	4878
541	5762	4869
542	5774	4859
543	5785	4849
544	5797	4840
545	5809	4830
546	5819	4819
547	5828	4807
548	5839	4796
549	5848	4785
550	5861	4776
551	5872	4766
552	5883	4755
553	5893	4744
554	5903	4733
555	5912	4721
556	5923	4710
557	5933	4699
558	5945	4690
559	5957	4681
560	5966	4669
561	5976	4657
562	5987	4647
563	5996	4635
564	6006	4624
565	6016	4613
566	6025	4601
567	6036	4591
568	6045	4579
569	6057	4569
570	6068	4559
571	6078	4548
572	6091	4539
573	6103	4529
574	6114	4519
575	6125	4509
576	6138	4500
577	6149	4489
578	6163	4481
579	6175	4472
580	6188	4462
581	6202	4454
582	6213	4444
583	6225	4434
584	6237	4425
585	6250	4416
586	6260	4405
587	6271	4394
588	6284	4385
589	6296	4375
590	6308	4365
591	6319	4355
592	6332	4345
593	6342	4334
594	6352	4324
595	6364	4314
596	6373	4302
597	6386	4292
598	6398	4283
599	6409	4273
600	6420	4262
601	6432	4252
602	6444	4243
603	6455	4232
604	6467	4222
605	6479	4212
606	6490	4202
607	6501	4191
608	6513	4181
609	6523	4170
610	6533	4159
611	6546	4150
612	6558	4140
613	6567	4128
614	6580	4119
615	6593	4109
616	6603	4098
617	6613	4088
618	6625	4078
619	6636	4067
620	6647	4056
621	6660	4047
622	6671	4037
623	6681	4026
624	6693	4016
625	6704	4005
626	6713	3993
627	6724	3983
628	6733	3971
629	6744	3960
630	6755	3950
631	6765	3939
632	6777	3929
633	6788	3918
634	6798	3907
635	6810	3897
636	6823	3888
637	6833	3877
638	6844	3866
639	6857	3857
640	6868	3846
641	6879	3835
642	6890	3825
643	6903	3816
644	6912	3804
645	6924	3794
646	6936	3784
647	6945	3773
648	6957	3762
649	6968	3752
650	6977	3740
651	6990	3730
652	7002	3721
653	7012	3709
654	7023	3699
655	7035	3689
656	7045	3678
657	7056	3667
658	7068	3657
659	7079	3646
660	7089	3635
661	7101	3625
662	7110	3614
663	7120	3603
664	7131	3592
665	7142	3581
666	7153	3571
667	7166	3561
668	7174	3549
669	7185	3539
670	7196	3528
671	7206	3517
672	7216	3506
673	7226	3495
674	7235	3483
675	7246	3472
676	7254	3461
677	7265	3450
678	7274	3438
679	7283	3427
680	7294	3417
681	7303	3405
682	7314	3394
683	7323	3383
684	7333	3372
685	7344	3361
686	7353	3350
687	7364	3339
688	7374	3328
689	7383	3317
690	7394	3306
691	7404	3295
692	7414	3284
693	7426	3274
694	7436	3263
695	7446	3252
696	7458	3242
697	7467	3230
698	7479	3220
699	7491	3210
700	7500	3199
701	7511	3188
702	7522	3178
703	7531	3166
704	7542	3156
705	7552	3144
706	7561	3133
707	7573	3123
708	7581	3111
709	7592	3101
710	7603	3090
711	7612	3079
712	7624	3068
713	7633	3057
714	7643	3046
715	7654	3036
716	7663	3024
717	7674	3014
718	7685	3003
719	7694	2992
720	7705	2981
721	7715	2970
722	7726	2960
723	7738	2950
724	7748	2939
725	7759	2928
726	7771	2918
727	7781	2907
728	7792	2896
729	7804	2886
730	7816	2876
731	7826	2865
732	7839	2855
733	7852	2845
734	7861	2834
735	7872	2823
736	7884	2813
737	7893	2802
738	7905	2792
739	7917	2781
740	7926	2770
741	7938	2760
742	7951	2750
743	7962	2739
744	7972	2728
745	7986	2719
746	7998	2708
747	8007	2697
748	8021	2687
749	8033	2677
750	8044	2667
751	8055	2656
752	8066	2645
753	8075	2634
754	8086	2624
755	8098	2613
756	8111	2603
757	8121	2592
758	8133	2582
759	8145	2572
760	8156	2561
761	8168	2551
762	8183	2542
763	8198	2532
764	8210	2522
765	8222	2511
766	8234	2501
767	8246	2491
768	8258	2480
769	8272	2470
770	8282	2460
771	8295	2450
772	8310	2440
773	8327	2431
774	8341	2421
775	8358	2412
776	8373	2403
777	8384	2392
778	8395	2381
779	8409	2371
780	8424	2362
781	8436	2351
782	8446	2340
783	8458	2330
784	8470	2319
785	8487	2310
786	8501	2300
787	8516	2291
788	8528	2280
789	8543	2271
790	8558	2261
791	8573	2251
792	8587	2241
793	8602	2231
794	8616	2221
795	8626	2210
796	8638	2200
797	8650	2189
798	8660	2178
799	8670	2167
800	8682	2156
801	8691	2145
802	8702	2134
803	8713	2124
804	8722	2112
805	8733	2102
806	8742	2090
807	8752	2079
808	8764	2069
809	8773	2058
810	8785	2047
811	8797	2036
812	8807	2025
813	8817	2014
814	8828	2004
815	8838	1992
816	8849	1982
817	8860	1971
818	8869	1960
819	8883	1949
820	8894	1939
821	8903	1928
822	8914	1917
823	8926	1906
824	8936	1895
825	8948	1884
826	8959	1874
827	8968	1863
828	8979	1852
829	8989	1841
830	8998	1830
831	9010	1819
832	9019	1808
833	9039	1799
834	9056	1789
835	9074	1780
836	9089	1770
837	9102	1759
838	9115	1749
839	9132	1739
840	9144	1728
841	9157	1718
842	9167	1707
843	9178	1696
844	9189	1685
845	9198	1674
846	9209	1663
847	9220	1652
848	9230	1641
849	9241	1630
850	9253	1620
851	9263	1609
852	9274	1598
853	9285	1587
854	9295	1576
855	9305	1565
856	9316	1554
857	9325	1543
858	9337	1532
859	9347	1521
860	9358	1510
861	9369	1500
862	9379	1488
863	9389	1477
864	9401	1467
865	9410	1456
866	9421	1445
867	9432	1434
868	9442	1423
869	9454	1412
870	9466	1402
871	9475	1390
872	9486	1380
873	9497	1369
874	9507	1358
875	9518	1347
876	9528	1336
877	9538	1325
878	9550	1314
879	9560	1303
880	9571	1292
881	9581	1281
882	9590	1270
883	9600	1259
884	9609	1248
885	9618	1237
886	9629	1226
887	9637	1215
888	9648	1204
889	9657	1193
890	9667	1182
891	9677	1171
892	9686	1160
893	9696	1149
894	9705	1138
895	9715	1127
896	9724	1116
897	9733	1105
898	9743	1094
899	9752	1083
900	9762	1072
901	9770	1061
902	9781	1050
903	9791	1039
904	9800	1028
905	9810	1017
906	9819	1006
907	9828	995
908	9837	984
909	9847	973
910	9856	962
911	9865	951
912	9875	941
913	9884	930
914	9894	919
915	9902	908
916	9913	897
917	9923	886
918	9931	875
919	9942	864
920	9950	853
921	9959	842
922	9969	831
923	9979	820
924	9990	810
925	9999	799
926	10008	788
927	10017	777
928	10026	766
929	10037	755
930	10045	744
931	10056	733
932	10064	722
933	10074	711
934	10083	700
935	10093	690
936	10103	679
937	10112	668
938	10122	657
939	10130	646
940	10140	635
941	10149	624
942	10158	614
943	10168	603
944	10177	592
945	10188	581
946	10197	570
947	10206	559
948	10217	549
949	10226	538
950	10236	527
951	10244	516
952	10255	505
953	10265	494
954	10274	484
955	10285	473
956	10294	462
957	10304	451
958	10314	440
959	10323	430
960	10333	419
961	10341	408
962	10351	397
963	10359	386
964	10369	376
965	10379	365
966	10387	354
967	10398	343
968	10407	332
969	10418	322
970	10427	311
971	10436	300
972	10447	289
973	10455	279
974	10465	268
975	10474	257
976	10483	246
977	10493	236
978	10502	225
979	10513	214
980	10521	203
981	10531	193
982	10540	182
983	10549	171
984	10560	160
985	10568	150
986	10578	139
987	10586	128
988	10597	117
989	10607	107
990	10616	96
991	10626	85
992	10636	74
993	10645	64
994	10654	53
995	10664	42
996	10674	32
997	10682	21
998	10694	10
999	10704	0
