iter	Logloss
325	0.2292601585
326	0.2291040051
327	0.2289318871
328	0.2287400663
329	0.2286038761
330	0.2283635513
331	0.2282231923
332	0.2281000147
333	0.2279696824
334	0.2278135065
335	0.227691382
336	0.2275178206
337	0.2273043216
338	0.2270713973
339	0.226976782
340	0.2266819802
341	0.2263621263
342	0.2262050337
343	0.2256878496
344	0.2254702743
345	0.2252839754
346	0.2250685899
347	0.2249448158
348	0.2248485181
349	0.2243929183
350	0.2242591445
351	0.2240851659
352	0.2239335534
353	0.2236863874
354	0.2234634717
355	0.2230588556
356	0.2226881275
357	0.2223300849
358	0.2220834534
359	0.2216551767
360	0.2214812635
361	0.221323404
362	0.2210597614
363	0.2206764052
364	0.2205198853
365	0.2202216534
366	0.2200668858
367	0.219824643
368	0.2196562483
369	0.2192854209
370	0.2191298358
371	0.2187883105
372	0.2186694245
373	0.2184616177
374	0.2183272587
375	0.2181836624
376	0.2179274935
377	0.2178257822
378	0.2175744632
379	0.217254005
380	0.2169307547
381	0.2167429663
382	0.2164637165
383	0.2162070279
384	0.2159633574
385	0.2158529229
386	0.215714164
387	0.2155824515
388	0.2154185909
389	0.2152813295
390	0.2150522695
391	0.214892377
392	0.2147525942
393	0.21454573
394	0.2144149433
395	0.214156252
396	0.2140464907
397	0.213913442
398	0.213751425
399	0.2136029146
400	0.2134181639
401	0.2133031163
402	0.213172969
403	0.2129314997
404	0.2127996045
405	0.2126480461
406	0.212522222
407	0.2123750793
408	0.212278361
409	0.2121066083
410	0.2119798765
411	0.2118563594
412	0.2117586635
413	0.2115377629
414	0.2113922101
415	0.2112709799
416	0.2111732715
417	0.2110375402
418	0.2108550426
419	0.2106863772
420	0.2105698604
421	0.2103919024
422	0.2102151702
423	0.2100981099
424	0.2098694197
425	0.2097532085
426	0.2096311348
427	0.209470675
428	0.2093734741
429	0.2092944029
430	0.2091564344
431	0.2089418112
432	0.2087703674
433	0.2086121618
434	0.2084976904
435	0.2083241313
436	0.2081999535
437	0.2079883038
438	0.2078780835
439	0.207768736
440	0.2076562514
441	0.2074789329
442	0.2073619864
443	0.2072488614
444	0.2071328813
445	0.2070302273
446	0.2069104584
447	0.2065853679
448	0.206151796
449	0.205940551
450	0.2057946848
451	0.2056611433
452	0.2055832933
453	0.2054674496
454	0.2053162419
455	0.205205512
456	0.205108434
457	0.2049404204
458	0.2047688289
459	0.2046337596
460	0.2045251473
461	0.2043902087
462	0.2041959004
463	0.2041026721
464	0.2039953824
465	0.2038434395
466	0.2037308671
467	0.2036286077
468	0.2035354357
469	0.2033965753
470	0.2032889801
471	0.2031809316
472	0.2030850849
473	0.2029714164
474	0.2028245478
475	0.2026606308
476	0.2025495964
477	0.2024634246
478	0.2023042391
479	0.2021533663
480	0.2019897256
481	0.2018441514
482	0.2017223731
483	0.2015883051
484	0.2014864516
485	0.201314196
486	0.2010876675
487	0.2009596254
488	0.2008953788
489	0.2007508217
490	0.2006127473
491	0.2004509232
492	0.2002997121
493	0.2002183924
494	0.2001082826
495	0.1999222262
496	0.1997892948
497	0.199654098
498	0.1995359168
499	0.1994371067
500	0.1993054394
501	0.1992236822
502	0.1990713593
503	0.1990017746
504	0.1989182594
505	0.1988384056
506	0.198748568
507	0.198622674
508	0.1985069645
509	0.1983285284
510	0.1981877567
511	0.1981132715
512	0.1979554357
513	0.1978425701
514	0.197715297
515	0.1976057972
516	0.1974304204
517	0.1973422358
518	0.1972064335
519	0.1970544218
520	0.1969167093
521	0.1968296614
522	0.196657152
523	0.1965763984
524	0.1964983307
525	0.1963740289
526	0.1962428746
527	0.1961624705
528	0.1960011312
529	0.1959072083
530	0.1958119085
531	0.1956959893
532	0.1955775453
533	0.1954366632
534	0.1951810807
535	0.1950609408
536	0.1949545071
537	0.1948614501
538	0.1947461319
539	0.1945757977
540	0.1944686265
541	0.194393141
542	0.1942760311
543	0.19417973
544	0.1941007749
545	0.1939775882
546	0.1937872706
547	0.1936349962
548	0.1935529954
549	0.1934388206
550	0.1933030296
551	0.1932115761
552	0.1931577125
553	0.1930235125
554	0.1928500424
555	0.1927854858
556	0.1926553655
557	0.1925438112
558	0.1923868584
559	0.1922336852
560	0.1920824099
561	0.1919180498
562	0.1918587196
563	0.191539054
564	0.1913779267
565	0.1912445533
566	0.1911591426
567	0.1910239391
568	0.1908861544
569	0.190770587
570	0.1905994139
571	0.1904627084
572	0.1903776326
573	0.190246387
574	0.1900705286
575	0.1899496073
576	0.1898577535
577	0.1897661467
578	0.1895002613
579	0.1893768457
580	0.1892680586
581	0.1891868235
582	0.1890775549
583	0.1889918251
584	0.1888743938
585	0.188788743
586	0.1887229121
587	0.1886132703
588	0.1885264614
589	0.1884551628
590	0.188290991
591	0.1881913736
592	0.188083943
593	0.1879979155
594	0.1878808958
595	0.1878006496
596	0.187693608
597	0.1875741188
598	0.1874812828
599	0.1874029908
600	0.1872654271
601	0.1871918293
602	0.1869040063
603	0.1867635819
604	0.1866704505
605	0.1865542956
606	0.1864388906
607	0.1863571052
608	0.1862765297
609	0.1861843827
610	0.1860391615
611	0.185937281
612	0.185798565
613	0.1857077846
614	0.1855974629
615	0.1854453418
616	0.1853629926
617	0.1852396447
618	0.1851541506
619	0.1850830922
620	0.1849923558
621	0.1848857495
622	0.1847727113
623	0.1847050583
624	0.1846297668
625	0.1845368722
626	0.1844158607
627	0.1843131221
628	0.1842239102
629	0.1841189006
630	0.183996165
631	0.1837325078
632	0.1836095568
633	0.1834887584
634	0.183275141
635	0.1831218957
636	0.1829924227
637	0.1828976461
638	0.1827286448
639	0.1825637479
640	0.1824947699
641	0.1823954784
642	0.1822425624
643	0.1821343887
644	0.1820267078
645	0.1819373663
646	0.181745267
647	0.1816201837
648	0.1814461589
649	0.1813423366
650	0.1812637198
651	0.181149792
652	0.1810741881
653	0.1809661193
654	0.1809109759
655	0.1807721155
656	0.1806661339
657	0.1805736081
658	0.1805026736
659	0.1804361775
660	0.180369696
661	0.1802810198
662	0.1802017749
663	0.1801120951
664	0.180039591
665	0.1799263397
666	0.1798243036
667	0.1797536658
668	0.1797036699
669	0.1796098236
670	0.1794978702
671	0.1793999961
672	0.1793051778
673	0.1792028745
674	0.1791100814
675	0.1790310473
676	0.1789393209
677	0.1788403136
678	0.1786976137
679	0.1786014096
680	0.178517042
681	0.1784554768
682	0.17837306
683	0.178293037
684	0.1781854452
685	0.1780347776
686	0.1778856673
687	0.1777723788
688	0.1776922532
689	0.1776152139
690	0.1774924941
691	0.1773250804
692	0.1772520035
693	0.1771439562
694	0.1770548267
695	0.1769894107
696	0.1769000501
697	0.1768300403
698	0.1766298764
699	0.1765418361
700	0.1764773933
701	0.1764075144
702	0.1763256715
703	0.1762156914
704	0.1761149035
705	0.1759931275
706	0.175908876
707	0.1758022359
708	0.175687998
709	0.1755840167
710	0.1755035236
711	0.1754376645
712	0.1753615814
713	0.175229578
714	0.1751108984
715	0.1749661192
716	0.1748624921
717	0.1748019688
718	0.1747433659
719	0.174667576
720	0.1746293084
721	0.1745268833
722	0.1744407938
723	0.1743320992
724	0.1742207829
725	0.1741229448
726	0.1740224084
727	0.1739527595
728	0.1738591624
729	0.1737573236
730	0.1736998528
731	0.1736376585
732	0.1735349222
733	0.1734804846
734	0.1733482873
735	0.1731664278
736	0.1730334874
737	0.1729607082
738	0.1728079534
739	0.1727026698
740	0.1726371885
741	0.1725744472
742	0.1725116677
743	0.1723906731
744	0.1722850422
745	0.1722254695
746	0.1720849098
747	0.1720128117
748	0.1718898709
749	0.1717896705
750	0.1717283445
751	0.1716406842
752	0.1715523869
753	0.1712687665
754	0.1711826826
755	0.1710985687
756	0.171000283
757	0.1709415324
758	0.1708302262
759	0.1707440127
760	0.1706599687
761	0.170568672
762	0.1705161379
763	0.1704279375
764	0.170324122
765	0.1702384813
766	0.17016335
767	0.1701079607
768	0.1700205012
769	0.1699324632
770	0.1697964816
771	0.1695288992
772	0.1694502857
773	0.1693610852
774	0.1692643985
775	0.1691495381
776	0.1690689919
777	0.1688336635
778	0.1687708727
779	0.1686663029
780	0.1685646693
781	0.168396048
782	0.1682930962
783	0.1682468373
784	0.1681530068
785	0.1680702618
786	0.1680136784
787	0.1679420415
788	0.1678487229
789	0.1677092502
790	0.1676081557
791	0.1675606281
792	0.1674572118
793	0.1673824435
794	0.1672595771
795	0.1671768671
796	0.1670864014
797	0.1670035538
798	0.1669018075
799	0.1668036898
800	0.1667361405
801	0.1666967689
802	0.1666421972
803	0.1663762205
804	0.166346119
805	0.1662203106
806	0.1661794461
807	0.1661351751
808	0.1660910586
809	0.1660393623
810	0.1659736475
811	0.1658894795
812	0.1658234118
813	0.1657347762
814	0.165681075
815	0.1655852013
816	0.1655061932
817	0.165432345
818	0.1653809149
819	0.1652999346
820	0.165244604
821	0.1651503371
822	0.165072663
823	0.1649385171
824	0.1648609738
825	0.1647143825
826	0.1644724125
827	0.1644061937
828	0.1643309778
829	0.1642597378
830	0.1641389856
831	0.1640270886
832	0.1639679106
833	0.1638560564
834	0.1637596381
835	0.1637068378
836	0.1635913809
837	0.1634948769
838	0.1634198402
839	0.1633302349
840	0.1632235553
841	0.1631311331
842	0.1630577608
843	0.1629765449
844	0.1629000074
845	0.1628543043
846	0.1627657679
847	0.1626203753
848	0.1625306109
849	0.1624490646
850	0.1623028872
851	0.1621906304
852	0.1620928014
853	0.1620075678
854	0.1619268175
855	0.1618380376
856	0.1617677651
857	0.1616934016
858	0.161608716
859	0.1615148054
860	0.1614589888
861	0.1614084269
862	0.1613067415
863	0.1612629768
864	0.1611679769
865	0.1611026061
866	0.1610287535
867	0.1609314612
868	0.1608116123
869	0.1607603817
870	0.1606720945
871	0.1605445519
872	0.1604611461
873	0.1603906165
874	0.1603165778
875	0.1602211799
876	0.1601277689
877	0.1600358181
878	0.1599947732
879	0.1599440601
880	0.1598898075
881	0.1598064954
882	0.1597252445
883	0.1596543202
884	0.1595876955
885	0.1594987261
886	0.1594377304
887	0.1593642442
888	0.1592665313
889	0.1591669173
890	0.1590956999
891	0.1590435943
892	0.1589940686
893	0.1589071582
894	0.158755115
895	0.1586908391
896	0.1586301174
897	0.1585285413
898	0.1584827875
899	0.1583735426
900	0.1582521263
901	0.1582163349
902	0.1581490483
903	0.1580994787
904	0.1580226243
905	0.1579328543
906	0.1578783164
907	0.1578255185
908	0.1577159172
909	0.1576503976
910	0.1575859683
911	0.157457801
912	0.1574100446
913	0.157351356
914	0.1572744768
915	0.1572143584
916	0.1571651519
917	0.1570943572
918	0.1569434495
919	0.1568021399
920	0.156758833
921	0.1566362575
922	0.1565107447
923	0.1564177147
924	0.1563708074
925	0.156297134
926	0.1562323574
927	0.1561576444
928	0.1560688047
929	0.1560048682
930	0.1559268829
931	0.1558453873
932	0.1557532042
933	0.1557105051
934	0.155616917
935	0.1555497747
936	0.1554952267
937	0.1554064084
938	0.1553191992
939	0.1552488229
940	0.1552022291
941	0.1551030052
942	0.1550491586
943	0.1550097306
944	0.1549255919
945	0.1548556938
946	0.1547404556
947	0.1545805293
948	0.1544662518
949	0.1543861004
950	0.1543160804
951	0.1542211697
952	0.1541365179
953	0.1540454996
954	0.1539719074
955	0.1538996774
956	0.1537990226
957	0.1537351222
958	0.1536460468
959	0.1535745182
960	0.1535075867
961	0.1533330477
962	0.1532563117
963	0.1531943339
964	0.1531187323
965	0.1530509552
966	0.1529967184
967	0.1528676659
968	0.1528044285
969	0.1527376471
970	0.1525786036
971	0.1524770084
972	0.152418489
973	0.1523538094
974	0.1522841074
975	0.1522333955
976	0.1521721146
977	0.1521141578
978	0.1520633027
979	0.1519979758
980	0.1519331485
981	0.1518461062
982	0.1517779333
983	0.1517032981
984	0.1516326331
985	0.1515972635
986	0.151514726
987	0.1514770436
988	0.1514050999
989	0.1513596179
990	0.1513268372
991	0.15123984
992	0.1511978513
993	0.1511258422
994	0.1509708638
995	0.1509052923
996	0.1508511818
997	0.15076243
998	0.1506712471
999	0.1505417538
